"id","restaurant_id","method"
"1192","303","Tunai"
"1193","303","Visa"
"1194","303","Master"
"1195","303","Debet"
"1196","303","Go-pay"
"1197","303","Ovo"
"1198","303","Dana"
"1199","304","Tunai"
"1200","304","Visa"
"1201","304","Master"
"1202","304","Debet"
"1203","305","Tunai"
"1204","305","Visa"
"1205","305","Master"
"1206","305","Debet"
"1207","305","Go-pay"
"1208","305","Ovo"
"1209","305","Dana"
"1210","306","Tunai"
"1211","306","Ovo"
"1212","307","Tunai"
"1213","308","Tunai"
"1214","308","Debet"
"1215","309","Tunai"
"1216","309","Debet"
"1217","309","Go-pay"
"1218","309","Ovo"
"1219","309","Dana"
"1220","310","Tunai"
"1221","311","Tunai"
"1222","311","Visa"
"1223","311","Master"
"1224","311","Debet"
"1225","311","Go-pay"
"1226","311","Ovo"
"1227","311","Dana"
"1228","312","Tunai"
"1229","313","Tunai"
"1230","314","
                        Cipete Raya - Keluar F "
"1231","315","Tunai"
"1232","315","Go-pay"
"1233","315","Ovo"
"1234","316","Tunai"
"1235","317","Tunai"
"1236","317","Visa"
"1237","317","Master"
"1238","317","Debet"
"1239","318","Tunai"
"1240","318","Ovo"
"1241","319","Hanya Non-Tunai: Debet"
"1242","319","Go-pay"
"1243","319","Ovo"
"1244","319","Dana"
"1245","320","Tunai"
"1246","320","Visa"
"1247","320","Master"
"1248","320","Debet"
"1249","320","Go-pay"
"1250","320","Ovo"
"1251","321","Tunai"
"1252","321","Visa"
"1253","321","Master"
"1254","321","Debet"
"1255","321","Go-pay"
"1256","321","Ovo"
"1257","322","Tunai"
"1258","322","Visa"
"1259","322","Master"
"1260","322","Debet"
"1261","322","Go-pay"
"1262","322","Ovo"
"1263","324","Tunai"
"1264","324","Visa"
"1265","324","Master"
"1266","324","Debet"
"1267","325","Tunai"
"1268","325","Go-pay"
"1269","325","Ovo"
"1270","325","Dana"
"1271","326","Hanya Non-Tunai: Visa"
"1272","326","Master"
"1273","326","Debet"
"1274","328","Hanya Non-Tunai: Debet"
"1275","328","Go-pay"
"1276","328","Ovo"
"1277","328","Dana"
"1278","329","Tunai"
"1279","329","Visa"
"1280","329","Master"
"1281","329","Debet"
"1282","329","Go-pay"
"1283","329","Ovo"
"1284","330","Tunai"
"1285","330","Visa"
"1286","330","Master"
"1287","330","Debet"
"1288","330","Go-pay"
"1289","330","Ovo"
"1290","331","Tunai"
"1291","331","Visa"
"1292","331","Master"
"1293","331","Debet"
"1294","331","Go-pay"
"1295","331","Ovo"
